ACTUAL_AREA,ACTUAL_WORTH,AREA_EN,INSTANCE_DATE,PROCEDURE_AREA,PROCEDURE_NUMBER,PROCEDURE_YEAR,PROPERTY_TOTAL_VALUE,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN,ROW_STATUS_CODE
304.63,3279007,Al Baraha,2026-03-27T10:43:43,304.63,1657,2026,3279007,Land,Residential,COMPLETED
169.05,3290959.04,Business Bay,2026-03-02T09:07:18,169.05,1332,2026,3290959,Unit,Office,COMPLETED
154.5,3294397.19,Burj Khalifa,2026-03-03T10:20:58,154.5,1354,2026,3294397,Unit,Flat,COMPLETED
211.36,3298834,Hor Al Anz,2026-03-17T12:52:29,211.36,1539,2026,3298834,Land,Residential,COMPLETED
1281.6,3400000,Al Waheda,2026-03-25T12:09:24,1281.6,1624,2026,3400000,Land,Government Housing,COMPLETED
1185.94,3446642,Nadd Hessa,2026-03-30T12:03:47,1185.94,1671,2026,3446642,Land,,COMPLETED
929.03,3499995,Al Goze First,2026-03-15T12:25:59,929.03,1501,2026,3499995,Land,Residential,COMPLETED
1393.55,3500000,Muhaisanah Third,2026-03-10T10:31:04,1393.55,1434,2026,3500000,Land,Residential,COMPLETED
259.1,3754334.16,Marsa Dubai,2026-03-04T14:09:42,259.1,1383,2026,3754334,Unit,Flat,COMPLETED
1116,3800000,Al Warqa Third,2026-03-05T14:03:55,1116,1399,2026,3800000,Land,Residential,COMMITTED
242.97,3860888.52,Marsa Dubai,2026-03-16T09:50:38,242.97,1504,2026,3860889,Unit,Flat,COMPLETED
914.4,3937004,Jabal Ali Industrial First,2026-03-12T10:52:58,914.4,1470,2026,3937004,Land,,COMPLETED
929.03,3999994,Ghadeer Al tair,2026-03-02T11:31:00,929.03,1341,2026,3999994,Land,Residential,COMPLETED
231.19,4000000,Hor Al Anz,2026-03-02T11:51:19,231.19,1344,2026,4000000,Land,Residential,COMPLETED
159.52,4296991.11,Burj Khalifa,2026-03-04T10:14:16,159.52,1368,2026,4296991,Unit,Flat,COMPLETED
160.86,4300000,Marsa Dubai,2026-03-05T12:30:43,160.86,1396,2026,4300000,Unit,Flat,COMPLETED
300,4400000,Al Yufrah 1,2026-03-10T12:17:28,300,1445,2026,4400000,Building,Villa,COMPLETED
211.35,4549901,Al Karama,2026-03-02T10:43:25,211.35,1339,2026,4549901,Land,Commercial,COMPLETED
211.82,4560019,Al Karama,2026-03-26T13:13:28,211.82,1649,2026,4560019,Land,Commercial,COMPLETED
289.09,4667604,Al Suq Al Kabeer,2026-03-18T11:43:02,289.09,1552,2026,4667604,Land,Commercial,COMPLETED
