ADOPTION_DATE,AREA_EN,CNT_BUILDING,CNT_LAND,CNT_TOTAL,CNT_UNIT,CNT_VILLA,COMPLETION_DATE,DESCRIPTION_EN,DEVELOPER_EN,DEVELOPER_NUMBER,END_DATE,ESCROW_ACCOUNT_NUMBER,INSPECTION_DATE,MASTER_PROJECT_EN,PERCENT_COMPLETED,PROJECT_EN,PROJECT_NUMBER,PROJECT_STATUS,PROJECT_VALUE,START_DATE,ZONE_EN
2025-12-08T10:42:18,Me'Aisem Second,0,0,311,0,311,,"Residential development consisting of 311 villas (B+G+2)
",EMAAR DEVELOPMENT P.J.S.C.,1211,2030-02-28T00:00:00,1.07E+13,2025-11-28T17:12:32,,0,Mareva The Oasis,4269,ACTIVE,1018977074,2026-03-22T00:00:00,Trakhees
2025-12-08T10:46:09,Me'Aisem Second,0,1,347,0,346,,"Residential development consisting of 347 villas (B+G+2)
",EMAAR DEVELOPMENT P.J.S.C.,1211,2030-02-28T00:00:00,3.54E+12,2025-11-28T17:23:38,,0,Mareva 2 The Oasis,4270,ACTIVE,1094034876,2026-03-22T00:00:00,Trakhees
2025-12-25T12:07:38,Palm Deira,0,0,56,56,0,,G+2P+8+R,JAIEDCO REAL ESTATE DEVELOPMENT L.L.C,1935,2028-01-01T00:00:00,8.03E+13,2025-12-05T10:51:39,,0,LIORA,4276,ACTIVE,40000000,2026-04-01T00:00:00,Trakhees
,Madinat Al Mataar,0,0,52,52,0,,Proposed G+4+R Residential Building,CALGARY AVENUE SOUTH REAL ESTATE DEVELOPMENT L.L.C,2450,2028-04-30T00:00:00,,2026-01-16T17:40:37,,0,SKYON,4282,PENDING,26224800,2026-04-01T00:00:00,
2026-02-26T15:03:43,Me'Aisem First,0,0,310,310,0,,Project Description: 2B+G+2P+16+R Residential,MERAKI REAL ESTATE DEVELOPMENT L.L.C  ,1230,2028-12-31T00:00:00,1.58E+12,2025-12-23T22:33:24,,0,Nirvana Residences - I,4313,ACTIVE,150000000,2026-03-01T00:00:00,Dubai Development Authority (DDA)
2026-02-04T11:37:35,Al Satwa,0,0,90,90,0,,"G+2P+8
88 Residential units
2 Retails",RABDAN GARDENS REAL ESTATE DEVELOPMENTS L.L.C,2568,2028-03-01T00:00:00,1.58E+12,2025-12-25T11:54:47,,0,Rabdan Gardens,4314,ACTIVE,58000000,2026-03-01T00:00:00,
2026-03-16T21:43:50,Jabal Ali First,0,0,2169,2169,0,,"Proposed Residential, Offices and Commercial Development consist of 2 Towers with shopping centre, 
Building 5: 4 Basement + Ground + 99 Floors + Roof  
Building 6: 4 Basement + Ground + 65 floors  + Roof ",SOBHA L.L.C,966,2031-12-31T00:00:00,1.64E+12,2026-01-13T12:26:28,,0,Sobha Central ,4328,ACTIVE,2315467680,2026-03-31T00:00:00,Dubai Municipality
,Al Barsha South Fourth,0,0,212,212,0,,B + G + 1P + 5F + R,IMAN DEVELOPERS L.L.C,1178,2028-10-30T00:00:00,,2026-02-04T17:11:02,,0,OXFORD COVE,4330,PENDING,71500001,2026-03-01T00:00:00,
,Ras Al Khor Industrial First,0,1,1,0,0,,B+G+3P+20+RF,PRESTIGE SANCTUARY REAL ESTATE DEVELOPMENT L.L.C,2509,2028-12-31T00:00:00,,2026-01-06T12:23:26,,0,Sanctuary by Prestige One,4332,PENDING,80000000,2026-03-01T00:00:00,
,Al Satwa,0,0,54,54,0,,G+2P+8+ROOF,HOMEDGE REAL ESTATE DEVELOPMENT L.L.C,2191,2028-03-20T00:00:00,,2026-01-06T14:15:22,,0,The Key,4333,PENDING,23200000,2026-03-20T00:00:00,
,Al Satwa,0,1,1,0,0,,G+2P+8+ROOF,HOMEDGE REAL ESTATE DEVELOPMENT L.L.C,2191,2028-03-20T00:00:00,,,,,Axilla,4334,PENDING,23200000,2026-03-20T00:00:00,
,Bukadra,0,0,177,177,0,,Ground Floor+4 Parking+19Floors+Roof (Commercial & Residential),ZENNOVA REALTY REAL ESTATE DEVELOPMENT L.L.C,2302,2029-06-30T00:00:00,,2026-02-02T17:55:40,,0,ZEN LAGOONS,4340,PENDING,140000000,2026-03-31T00:00:00,
,Al Barsha South Fifth,0,1,1,0,0,,G+4P+17+R,RETHINK VIRERA REAL ESTATE DEVELOPMENT L.L.C,2310,2028-10-01T00:00:00,,2026-01-13T16:57:11,,0,The Lyceum,4342,PENDING,102371436,2026-04-01T00:00:00,
,Palm Deira,0,0,76,76,0,,Residential / Commercial Building G + 2P + 12 Floors,DEVAL REAL ESTATE DEVELOPMENT L.L.C,1166,2028-03-31T00:00:00,,2026-01-15T17:28:25,,0,Isla Residences by Chaimaa Holding,4344,PENDING,38021760,2026-04-01T00:00:00,
2026-03-11T12:12:54,Nad Al Shiba First,0,0,97,0,97,,"Residential project with total number of 97 (G+2) villas as follows: 

- 55 of 4 Bedroom Villas
- 42 of 5 Bedroom Vllas 
",NAS ESTATES L.L.C,1762,2029-08-01T00:00:00,2.06E+11,2026-01-20T11:09:59,,0,Nad Al Sheba Gardens Phase 12,4352,ACTIVE,690000000,2026-03-01T00:00:00,Dubai Development Authority (DDA)
2026-03-18T12:14:39,Madinat Al Mataar,0,0,100,100,0,,Basement+Ground+6Floor+ROOF,MIRFA HARMONY REAL ESTATE DEVELOPMENT L.L.C,2511,2028-03-31T00:00:00,2.06E+11,2026-01-16T17:32:30,,0,STORIES BY MIRFA,4353,ACTIVE,38100000,2026-03-01T00:00:00,Dubai South
,Madinat Al Mataar,0,0,642,642,0,,Residential Building (2 Basement + G + 1P + 9 Floors)  ,AL HELAL AL ZAHABY REAL ESTATE DEVELOPMENT L.L.C,1124,2032-04-01T00:00:00,,,,,FOREST CITY TOWER 3,4355,PENDING,200000000,2026-04-01T00:00:00,
2026-02-10T14:06:05,Jabal Ali First,0,0,52,52,0,,3B+G+7+R,ARISTA ONE REAL ESTATE DEVELOPMENT L.L.C,2516,2028-06-30T00:00:00,3.72E+12,2026-01-19T12:22:10,,0,HQA By Arista,4356,ACTIVE,55000000,2026-03-15T00:00:00,
2026-03-02T12:31:01,Bukadra,0,0,145,145,0,,G+4P+20 Retail and Residential Building,IMTIAZ GHD REAL ESTATE DEVELOPMENT L.L.C,1641,2029-03-15T00:00:00,1.00E+15,2026-01-20T11:53:32,,0,CHAVELLE BY IMTIAZ,4360,ACTIVE,118134359,2026-03-15T00:00:00,
,Al Warsan First,0,0,312,312,0,,Residential Building (G+2 podium +6 Floors +R ),LION STONE PROPERTIES L.L.C,2535,2027-08-31T00:00:00,19612505,2026-01-21T18:01:22,,0,Listone Residence,4365,PENDING,98500000,2026-04-01T00:00:00,
,Saih Shuaib 2,0,0,246,246,0,,1B+G+5F+R,G F S REAL ESTATE L.L.C,2053,2028-06-15T00:00:00,19596391,2026-02-04T18:49:05,,0,Coventry Curve,4371,PENDING,53000000,2026-03-01T00:00:00,
2026-02-12T11:57:37,Al Yufrah 1,0,0,196,0,196,,"Residential development consisting of 196 townhouse units (G+1)
",EMAAR DEVELOPMENT P.J.S.C.,1211,2030-03-31T00:00:00,1.64E+12,2026-01-28T12:17:19,,0,The Valley - Alva,4373,ACTIVE,293328000,2026-03-31T00:00:00,Dubai Development Authority (DDA)
,Palm Deira,0,1,1,0,0,,Residential Building (G+2P+8),N Y X REAL ESTATE DEVELOPMENT L.L.C,2263,2028-03-30T00:00:00,,,,,Calla Isle,4383,PENDING,59000000,2026-04-01T00:00:00,
,Madinat Al Mataar,0,1,1,0,0,,Mixed-Use Project (Residential Apartments + Retail + Hotel) comprising 1 Basement + Ground Floor + 9 Floors,K M Y REAL ESTATE L.L.C,2116,2029-08-31T00:00:00,,2026-03-05T23:24:08,,0,MARAVELLE FAMILY COMPLEX,4387,PENDING,210000000,2026-03-01T00:00:00,
,Madinat Al Mataar,0,0,51,51,0,,PROPOSED RESIDENTIAL BUILDING (G+4+ROOF) ,GFS WONDERS DEVELOPERS L.L.C,2190,2028-05-15T00:00:00,,2026-02-11T10:55:39,,0,Coventry 49,4392,PENDING,21000000,2026-03-15T00:00:00,
2026-03-23T17:09:01,Jabal Ali Industrial Second,0,0,323,323,0,,"3B+5P+G+18F+R
",SAMANA PREMIUM REAL ESTATE DEVELOPMENT L.L.C,2071,2029-09-30T00:00:00,6.56E+12,2026-02-11T09:57:31,,0,Samana Business Hub,4394,ACTIVE,194189567,2026-03-01T00:00:00,Trakhees
,Madinat Al Mataar,0,1,1,0,0,,B+G+R,CRYSTAL BAY AZURE DEVELOPMENT L.L.C,2491,2028-02-28T00:00:00,,2026-03-07T12:55:17,,0,Globna by Crystal Bay Azure,4395,PENDING,20000000,2026-03-01T00:00:00,
,World Islands,0,1,1,0,0,,"G+4 Mixed Use Development ( Residential + Commercial )
",SAMANA LUX REAL ESTATE DEVELOPMENTS L.L.C,2587,2029-09-30T00:00:00,,,,,Samana Island,4397,PENDING,384832590,2026-03-01T00:00:00,
2026-03-26T15:21:43,Nad Al Shiba First,0,0,36,36,0,,B+G+5 Mixed use 30 Residential units + 3 Retail units = 33 Units,RABDAN SQUARE DEVELOPMENTS L.L.C,2567,2028-03-01T00:00:00,1.58E+12,2026-02-16T13:36:33,,0,Rabdan Square,4401,ACTIVE,35000000,2026-03-01T00:00:00,Dubai Municipality
,Jabal Ali Industrial Second,0,1,1,0,0,,"PROPOSED 4B+G+UG+3P+8+R
RESIDENTIAL BUILDING",AZIZI DEVELOPMENTS L.L.C,1002,2028-03-04T00:00:00,,2026-02-13T11:53:28,,0,Azizi Rose,4403,PENDING,67212000,2026-03-04T00:00:00,
,Wadi Al Safa 3,0,1,1,0,0,,B + G + 7 RESIDENTIAL FLOORS + ROOF,Binghatti Developers FZE,1051,2027-06-30T00:00:00,,2026-02-18T13:01:30,,0,Binghatti Square 1,4405,PENDING,87000000,2026-03-01T00:00:00,
,Warsan Fourth,0,1,1,0,0,,Residential Building G+1P+5,DAR AL AIHAM PROPERTIES L.L.C,2404,2028-04-01T00:00:00,,2026-03-13T07:14:04,,0,Al Aiham Homes,4406,PENDING,33000000,2026-04-01T00:00:00,
,Wadi Al Safa 3,0,1,1,0,0,,B + G + 7 RESIDENTIAL FLOORS + ROOF,Binghatti Developers FZE,1051,2027-06-30T00:00:00,,2026-02-18T13:11:09,,0,Binghatti Square 2,4408,PENDING,174000000,2026-03-01T00:00:00,
,Wadi Al Safa 3,0,1,1,0,0,,B + G + 7 RESIDENTIAL FLOORS + ROOF,Binghatti Developers FZE,1051,2027-06-30T00:00:00,,2026-02-18T13:13:33,,0,Binghatti Square 3,4409,PENDING,284000000,2026-03-01T00:00:00,
,Madinat Al Mataar,0,1,1,0,0,,G+6+Roof Top,BAMX ELEVEN REAL ESTATE DEVELOPMENT L.L.C,2596,2028-01-31T00:00:00,,,,,X11,4414,PENDING,40000000,2026-04-01T00:00:00,
,Wadi Al Safa 5,0,0,129,129,0,,G+2B+11+R,MAJID DEVELOPMENTS L.L.C,1655,2028-04-01T00:00:00,,2026-02-25T10:29:50,,0,ARLINGTON PARK II BY MAJID,4425,PENDING,36500000,2026-04-01T00:00:00,
,Wadi Al Safa 5,0,1,1,0,0,,B+G+3P+13+R,IRAZ REAL ESTATE DEVELOPMENT L.L.C,1814,2028-03-31T00:00:00,,2026-02-24T13:33:44,,0,Havencia,4429,PENDING,60000000,2026-03-01T00:00:00,
,Al Barsha South Fourth,0,0,209,209,0,,"UG+G+5P+2(O)+11(R)+R
",OBJECT ONE REAL ESTATE DEVELOPMENT L.L.C,1579,2027-10-20T00:00:00,,2026-02-27T15:46:22,,0,1WOOD RESIDENCE 2,4435,PENDING,46820000,2026-03-15T00:00:00,
,Al Barsha South Fourth,0,0,160,160,0,,G+3P+17,WADAN REAL ESTATE DEVELOPMENT L.L.C,2166,2028-03-30T00:00:00,,2026-03-09T11:36:12,,0,Tresora by Wadan,4442,PENDING,25000000,2026-03-30T00:00:00,
